	zscore	H_statistic	H_pvalue	S0S2_pvalue	S0S3_pvalue	S0S4_pvalue	S0S1_pvalue
Ptpn1	1.513685703277588	67.45313604169299	1.4978895418998948e-14	1.4227692137067652e-07	5.501958517000495e-14	2.4756880933692684e-06	1.0
Naca	1.6689224243164062	67.43221518724042	1.5134122634980598e-14	8.484282766574041e-05	6.501469558745976e-07	5.8520169345553915e-08	1.0
Npepps	1.5831191539764404	67.42109144088201	1.5217311606456756e-14	0.00031654260461575466	1.565511660872457e-09	1.4476020983580032e-06	1.0
Gdi2	1.6272279024124146	67.39079875601985	1.544618007270911e-14	1.2000045500505898e-07	1.4507262946958122e-07	0.0001285123302998727	1.0
Pdcd6ip	1.5724924802780151	67.26654440022419	1.6421515935814783e-14	4.273311085896708e-07	2.7591453975418753e-09	0.00015388592893931846	1.0
Atpif1	1.6293736696243286	67.07425193211259	1.805365407409339e-14	2.9734982858884143e-07	0.0002892684322002361	0.0004772954663701356	1.0
Pycard	1.5935639142990112	66.97937552644399	1.8917715072542798e-14	3.6146513952375003e-07	2.1944085220828617e-06	0.00040011254533217123	1.0
Map3k11	1.51957106590271	66.90017945592072	1.967054237170141e-14	2.455908374629126e-06	5.868329863106343e-05	0.002221777079566269	1.0
Derl1	1.671100378036499	66.66331200875052	2.2105652628366902e-14	2.9070128853763007e-06	4.701915594075602e-09	4.701915594075602e-09	1.0
Rps14	1.691097617149353	66.50378277172157	2.391329224768584e-14	1.2569832179188663e-09	7.253068502054703e-09	8.542422036727909e-07	1.0
Ppia	1.6232396364212036	66.39802476135748	2.5192356717657458e-14	0.004091403684417057	0.00042714759861035644	5.133930341948358e-06	1.0
Ptms	1.6174266338348389	65.78402572374435	3.409086979652919e-14	1.474594042631379e-05	0.0008997253506170411	0.008767389899678039	1.0
Rnmt	1.7299302816390991	65.36310230007814	4.1945679485339524e-14	4.977730820766878e-15	2.268729366617326e-12	4.977730820766878e-15	1.0
H2afj	1.6385819911956787	65.28609290115813	4.356734781976077e-14	4.570912771692418e-06	0.0022210259562711614	0.0037118662095044154	1.0
Pnrc1	1.5018550157546997	65.2521681165134	4.430148042898415e-14	0.00028058092133684357	9.61459467236413e-13	0.00017102132405782825	1.0
Rell1	1.649224042892456	64.73815920328818	5.70646438316546e-14	5.6852652916213056e-05	1.1292470361268305e-07	6.439897845137996e-08	1.0
Klf6	1.5251662731170654	64.6795889751121	5.873469764528932e-14	4.837955378814964e-06	2.3714387900443157e-11	0.0002246447862890331	1.0
Cse1l	1.7297049760818481	64.5842755768049	6.155750756301195e-14	2.2868275720701158e-14	3.73862190852405e-11	4.544968718071372e-15	1.0
Fam214b	1.6140646934509277	64.57936776330526	6.170647418734152e-14	0.00010817084195230343	1.0196681832243026e-07	1.0196681832243026e-07	1.0
Arid5b	1.5793153047561646	64.52474756154639	6.338887808911337e-14	0.00029237287277193935	3.76948602292986e-09	1.119912805394658e-06	1.0
Igsf6	1.606191635131836	64.50810005880315	6.391071175278794e-14	8.297792201120172e-09	2.9703935767364346e-13	2.744008122351767e-07	1.0
Glg1	1.6410788297653198	64.28158120315149	7.145299473343789e-14	7.115346044102565e-08	0.0004123970773479518	0.00014774299956068294	1.0
Klf13	1.6032413244247437	63.87792041862326	8.716601444758263e-14	1.260795058831045e-07	4.13565732817831e-06	0.00014230152687581346	1.0
Trim8	1.5990365743637085	63.656486778374735	9.720742707461243e-14	6.407356121881245e-06	1.0877051797742788e-05	0.002462033121038843	1.0
RP23-74K24.8	1.5350182056427002	63.64609498283403	9.77060847893734e-14	5.3643465559152615e-06	8.370263914724218e-06	0.0021103430210050625	1.0
Nipbl	1.6632553339004517	63.623513897681825	9.879848619973248e-14	3.9243207616962314e-08	3.9731496686728137e-08	1.6156833073677563e-05	1.0
Rpl18a	1.7012087106704712	63.28419880578866	1.1676304735823765e-13	1.0712566339779901e-09	1.6520879725169133e-08	5.364128874477373e-07	1.0
Rhoa	1.5687919855117798	63.22185898689662	1.2040230312905862e-13	4.0677330433747175e-07	2.2767665544257913e-12	1.1340480086061523e-05	1.0
Stat6	1.544203281402588	62.82796891371859	1.4616754800041766e-13	2.163205553664936e-05	1.5804664423101278e-05	0.007105037120503392	1.0
Dph3	1.5690653324127197	62.715006060615	1.5452603137180543e-13	4.704824292912659e-06	4.704824292912659e-06	0.0020321578751023653	1.0
Flcn	1.6225512027740479	62.63798314878605	1.6049749026520694e-13	8.883862408318595e-05	1.925590509649037e-06	9.243919178775282e-08	1.0
Fmnl2	1.6244562864303589	62.613817631165325	1.6241812259198329e-13	2.6427978043170913e-08	2.34808366239399e-13	9.099895629761202e-10	1.0
Tmem55b	1.6589196920394897	62.06968735191335	2.1230177556006234e-13	1.480109308366392e-05	1.7176315087095103e-07	3.3538447313481844e-08	1.0
Rpl30	1.6922637224197388	61.89984872204616	2.3081124261141286e-13	1.235858051302939e-09	5.610116891405861e-09	5.584556546979374e-07	1.0
Lars2	1.5868972539901733	61.8361914536362	2.381570416439676e-13	8.93910308001418e-08	7.012004164208818e-08	6.232400442604907e-05	1.0
Pmaip1	1.6872507333755493	61.75566150474585	2.477855909002502e-13	0.006140063968226615	0.0006793909429668671	1.3008144790739875e-05	1.0
Adam17	1.624232292175293	61.58010185227937	2.701464660413878e-13	1.4427210393426816e-05	1.957986060387195e-09	7.766672103783298e-08	1.0
Tatdn2	1.638016700744629	61.22798621047912	3.212578299440756e-13	0.0008063532971720629	1.6477720259781994e-06	1.7693909818479432e-06	1.0
Rps3a1	1.683903694152832	60.89020710899995	3.793479999777619e-13	1.7625226423541485e-06	2.8094527470275986e-05	0.0010621925991369271	1.0
Med12l	1.6380023956298828	60.30107293533994	5.068995561503121e-13	1.832889588626904e-05	0.008570666575399259	0.008570666575399259	1.0
Eef1b2	1.6479805707931519	60.196724087025274	5.336011883308774e-13	7.629374686204124e-06	0.00046118341154318293	0.003713018703250349	1.0
Cry2	1.7231571674346924	59.76199547760291	6.608350227432276e-13	7.765749103128657e-14	4.9886597297558065e-08	8.691478035979225e-14	1.0
Cxcr4	1.679714322090149	59.587029468176155	7.20228158563334e-13	7.957108094242925e-09	3.964527961656939e-08	2.381146605030835e-06	1.0
Dscr3	1.6317559480667114	59.370131449054945	8.01313415349363e-13	0.004179104338223554	5.984879281652304e-05	1.626555784000781e-05	1.0
